#TYPE VMware.VimAutomation.ViCore.Impl.V1.Stat.FloatSampleImpl
"Value","Timestamp","MetricId","Unit","Description","Entity","EntityId","IntervalSecs","Instance","Uid"
"0,63","7-5-2015 12:08:20","cpu.usage.average","%","CPU usage as a percentage during the interval","145.108.224.15","HostSystem-host-772","20","5","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=cpu.usage.average\5\635665973000000000/"
"0,22","7-5-2015 12:08:00","cpu.usage.average","%","CPU usage as a percentage during the interval","145.108.224.15","HostSystem-host-772","20","5","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=cpu.usage.average\5\635665972800000000/"
"0,2","7-5-2015 12:07:40","cpu.usage.average","%","CPU usage as a percentage during the interval","145.108.224.15","HostSystem-host-772","20","5","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=cpu.usage.average\5\635665972600000000/"
"2,88","7-5-2015 12:07:20","cpu.usage.average","%","CPU usage as a percentage during the interval","145.108.224.15","HostSystem-host-772","20","5","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=cpu.usage.average\5\635665972400000000/"
"1,87","7-5-2015 12:07:00","cpu.usage.average","%","CPU usage as a percentage during the interval","145.108.224.15","HostSystem-host-772","20","5","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=cpu.usage.average\5\635665972200000000/"
"0,96","7-5-2015 12:06:40","cpu.usage.average","%","CPU usage as a percentage during the interval","145.108.224.15","HostSystem-host-772","20","5","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=cpu.usage.average\5\635665972000000000/"
"5,32","7-5-2015 12:06:20","cpu.usage.average","%","CPU usage as a percentage during the interval","145.108.224.15","HostSystem-host-772","20","5","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=cpu.usage.average\5\635665971800000000/"
"0,57","7-5-2015 12:06:00","cpu.usage.average","%","CPU usage as a percentage during the interval","145.108.224.15","HostSystem-host-772","20","5","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=cpu.usage.average\5\635665971600000000/"
"5,03","7-5-2015 12:05:40","cpu.usage.average","%","CPU usage as a percentage during the interval","145.108.224.15","HostSystem-host-772","20","5","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=cpu.usage.average\5\635665971400000000/"
"2,82","7-5-2015 12:05:20","cpu.usage.average","%","CPU usage as a percentage during the interval","145.108.224.15","HostSystem-host-772","20","5","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=cpu.usage.average\5\635665971200000000/"
"2,6","7-5-2015 12:05:00","cpu.usage.average","%","CPU usage as a percentage during the interval","145.108.224.15","HostSystem-host-772","20","5","/VIServer=vsphere.local\administrator@145.108.224.34:443/VMHost=HostSystem-host-772/FloatSample=cpu.usage.average\5\635665971000000000/"
